Time,Location,Description,NameOfSpeaker,TitleOfSpeaker,SpecialTitleOfSpeaker,CompanyOfSpeaker
08.00-09.00,Restaurant Paasi,Brekfast,,,,
08.00-09.00,Congress Hall Foyer,Registration,,,,
09.00-09.15,Congress Hall,Welcome,Tommi Sneck,Director Saw Timber Industry,Chairman of Finnish Sawmills Association,Koskisen Oy
09.15-09.30,Congress Hall,Opening,Kimmo Tiilikainen,State Sectetary,,Ministry of Economic Affairs
09.30-10.00,Congress Hall,Climate Change and Wood Products,Markku Ollikainen,Professor ,Chairman of thr Finnish Climate Change Panel,University of Helsinki
10.00-10.30,Congress Hall,Sawmills' Raw Material Outlook,Paula Horne,Research Director,,Pellervo Economic Research PTT
10.30-10.45,Congress Hall,The Environment program of Finnish Sawmills,Anniina Kostilainen,Public Relations Manager,,Finnish Sawmills Association
10.45-11.15,Restaurant Paasi,Coffee,,,,
11.15-11.45,Congress Hall,Economic Outlook,Tuuli Koivu,Chief Economist,,Nordea Bank
11.45-12.00,Congress Hall,Nordic Timber-Grading Rules,Mika Lehmonen,Export Manager,,Koskisen Oy
11.45-12.00,Congress Hall,eSaha and Timber Academy 2020,Esa Mikkonen,Course Director,,LAB University of Applied Sciences
12.00-13.00,Restaurant Paasi,Lunch,,,,
13.00-13.30,Congress Hall,Overview and Outlook of Finnish Sawmill Industries,Kai Merivuori,Managing Director,,Finnish Sawmills Association
13.30-14.00,Congress Hall,Global Sawn Softwood Outlook,Antti Koskinen,Senior Consultant,,AFRY management consulting
14.00-14.30,Restaurant Paasi,Coffee,,,,
14.30-15.00,Congress Hall,Sawn Softwood Market Outlook China/Skype,Anna Ni,Senior Advisor,,Business Finland Oy
15.00-15.30,Congress Hall,Sawn Softwood Market Outlook Japan,Kimihiro Yazawa,Managing Director,,Polus-Tec Helsinki Oy
15.30-16.00,Congress Hall,Russian Sawmill Industry Uptade,Alexander Aleksin,Head of Sawn Timber Sales,,Company Group VLP
16.00-16.30,Congress Hall,Discussion and Conclusions,,,,
16.30,Congress Hall,Closing of the seminar,,,,
,,Chairman of the Day,Anniina Kostilainen,Public Relations Manager,,Finnish Sawmills Association
18.00-18.30,Entrance Hall,Coktails,,,,
18.30-23.00,Congress Hall,Dinner,,,,
