Speaker,Title,Company
Tommi Sneck,Director Saw Timber Industry,Koskisen Oy
,Chairman of Finnish Sawmills Association,
Ville Skinnari,Minister for Development Cooperation and Foreign Trade,Finnish Government
Markku Ollikainen,Professor ,
,Chairman of thr Finnish Climate Change Panel,
Paula Horne,Research Director,Pellervo Economic Research PTT
Anniina Kostilainen,Public Relations Manager,Finnish Sawmill Association
,,
Tuuli Koivu,Chief Economist,Nordea
Mika Lehmonen,Sales Manager,Koskisen Oy
Esa Mikkonen,Course Director,LAB University of Applied Sciences
,,
Kai Merivuori,Managing Director,Finnish Sawmill Association
Thorsten Leicht,Principal,P”yry Management Consulting
,,
Kimihiro Yazawa,Managing Director,Polus-Tec Helsinki Oy
Anna Ni,Senior Advisor,Business Finland Oy
Alexander Aleksin,Head of Sawn Timber Sales,Company Group VLP
